port,espece_categorie,ca_2024_kdh,ca_2025_kdh,vol_2024_t,vol_2025_t,delegation,ca_diff_kdh,reduction_pct
HALLE LAAYOUNE,POISSON BLANC,322549.99438999995,291651.15426,23196.149090000003,19372.32672,LAAYOUNE SAKIA LHAMRA,-30898.840129999968,-9.579550664211057
HALLE LAAYOUNE,CRUSTACES,15342.626999999999,3588.19,458.72850000000005,32.513,LAAYOUNE SAKIA LHAMRA,-11754.436999999998,-76.6129359724381
HALLE TARGHA,COQUILLAGES,424.491,2039.7150000000001,34.375,236.9245,TANGER TETOUAN AL HCOEIMA,1615.2240000000002,380.50842067322986
HALLE TARGHA,POISSON PELAGIQUE,18.465,46.687999999999995,0.825,4.448,TANGER TETOUAN AL HCOEIMA,28.222999999999995,152.84592472244785
HALLE TARGHA,POISSON BLANC,154.162,79.363,2.641,1.677,TANGER TETOUAN AL HCOEIMA,-74.799,-48.51973897588252
HALLE TARGHA,CEPHALOPODES,2235.2769999999996,1880.5799999999997,25.5445,19.4235,TANGER TETOUAN AL HCOEIMA,-354.6969999999999,-15.86814520079614
HALLE TARGHA,ALGUES,0.0,399.88999999999993,0.0,19.994500000000002,TANGER TETOUAN AL HCOEIMA,399.88999999999993,0.0
HALLE BOUJDOUR,POISSON BLANC,143477.69552999997,146469.78999000002,6517.9259999999995,5560.1939999999995,LAAYOUNE SAKIA LHAMRA,2992.094460000051,2.085407386107919
HALLE BOUJDOUR,POISSON PELAGIQUE,7138.078490000001,12091.132070000001,902.3489999999999,1503.6744999999999,LAAYOUNE SAKIA LHAMRA,4953.053580000001,69.38917226728339
HALLE BOUJDOUR,CEPHALOPODES,250804.33075000002,175518.70975000004,4001.059,2195.9474999999998,LAAYOUNE SAKIA LHAMRA,-75285.62099999998,-30.017671853937866
HALLE BOUJDOUR,CRUSTACES,2.4,25.7,0.0175,0.145,LAAYOUNE SAKIA LHAMRA,23.3,970.8333333333334
HALLE LARACHE,POISSON BLANC,45516.96167,40907.94200000001,701.4857499999999,738.13446,TANGER TETOUAN AL HCOEIMA,-4609.019669999987,-10.125938772925103
HALLE LARACHE,CRUSTACES,59102.59451,63379.61902000001,1075.4894000000002,1216.9479,TANGER TETOUAN AL HCOEIMA,4277.02451000001,7.236610415260787
HALLE LARACHE,POISSON PELAGIQUE,85744.189,77354.887,10192.666,9658.511800000002,TANGER TETOUAN AL HCOEIMA,-8389.301999999996,-9.784105602771515
HALLE LARACHE,CEPHALOPODES,91348.61279,111204.18624,1019.3432799999999,1049.30777,TANGER TETOUAN AL HCOEIMA,19855.573449999996,21.73604266508752
HALLE LARACHE,COQUILLAGES,0.0,0.46,0.0,0.03,TANGER TETOUAN AL HCOEIMA,0.46,0.0
HALLE JEBHA,CEPHALOPODES,10512.0685,13451.583999999999,190.161,244.20600000000002,TANGER TETOUAN AL HCOEIMA,2939.5154999999995,27.963245292779433
HALLE JEBHA,POISSON PELAGIQUE,1831.517,2005.8300000000004,241.47699999999998,241.84149999999997,TANGER TETOUAN AL HCOEIMA,174.31300000000033,9.517410976802308
HALLE JEBHA,POISSON BLANC,3692.125,2822.215,85.736,107.79100000000001,TANGER TETOUAN AL HCOEIMA,-869.9099999999999,-23.561228289941425
HALLE JEBHA,CRUSTACES,7081.635,4961.5305,101.0495,77.66499999999999,TANGER TETOUAN AL HCOEIMA,-2120.1045000000004,-29.93806515020896
HALLE JEBHA,Groupe Inconnu,56.57,5.84,1.068,0.21799999999999997,TANGER TETOUAN AL HCOEIMA,-50.730000000000004,-89.67650698249956
HALLE SIDIIFNI,POISSON PELAGIQUE,11694.47618,16392.71797,1436.3069999999998,3527.7055,GON,4698.241790000002,40.17488015440126
HALLE SIDIIFNI,POISSON BLANC,36941.51874,37331.424419999996,982.7485,949.066,GON,389.9056799999962,1.0554673800614733
HALLE SIDIIFNI,CEPHALOPODES,32564.83084,58376.919700000006,399.99,608.3464999999999,GON,25812.088860000007,79.26369704428045
HALLE SIDIIFNI,CRUSTACES,4171.5453,3305.9676799999997,20.831,14.471,GON,-865.57762,-20.749567792060176
MG TANGER,POISSON PELAGIQUE,46972.954399999995,45980.0721,11299.406,10901.081000000002,TANGER TETOUAN AL HCOEIMA,-992.8822999999975,-2.1137318541752137
MG TANGER,POISSON BLANC,18281.3838,22615.3044,2687.0899999999997,3326.4990000000003,TANGER TETOUAN AL HCOEIMA,4333.920600000001,23.706742593522932
MG TANGER,CRUSTACES,7181.8409,8086.5668,422.36199999999997,476.476,TANGER TETOUAN AL HCOEIMA,904.7258999999995,12.597409391232816
MG TANGER,CEPHALOPODES,1499.942,1480.0919999999999,122.94200000000001,125.26400000000001,TANGER TETOUAN AL HCOEIMA,-19.850000000000136,-1.3233845042008383
MG TANGER,AUTRE,119.46000000000001,214.77300000000002,19.910000000000004,29.653,TANGER TETOUAN AL HCOEIMA,95.31300000000002,79.7865394274234
HALLE LABOUIRDA,POISSON PELAGIQUE,1251.9675,785.6805,131.961,83.3925,DAKHLA OUED EDAHAB,-466.2869999999999,-37.244337412912074
HALLE LABOUIRDA,POISSON BLANC,24832.1095,17110.217,1251.3925,2144.46973,DAKHLA OUED EDAHAB,-7721.892499999998,-31.09640161662463
HALLE LABOUIRDA,CEPHALOPODES,346846.131,283046.9025,4682.2875,2866.2335,DAKHLA OUED EDAHAB,-63799.22849999997,-18.394101244854298
HALLE LABOUIRDA,CRUSTACES,752.699,4275.0464999999995,3.6555,26.867,DAKHLA OUED EDAHAB,3522.3474999999994,467.96229302815595
HALLE LABOUIRDA,ALGUES,553.125,750.0,184.375,250.0,DAKHLA OUED EDAHAB,196.875,35.59322033898305
MG BENIMELLAL,CEPHALOPODES,6.720000000000001,3.8080000000000003,0.96,0.5439999999999999,MARRAKECH SAFI,-2.9120000000000004,-43.333333333333336
MG BENIMELLAL,POISSON PELAGIQUE,5808.028,3995.2419999999993,1875.1239999999998,1276.3099999999997,MARRAKECH SAFI,-1812.786000000001,-31.211729695518013
MG BENIMELLAL,POISSON BLANC,950.2079999999999,588.784,135.74400000000003,84.112,MARRAKECH SAFI,-361.42399999999986,-38.03630363036303
MG BENIMELLAL,CRUSTACES,9.632000000000001,10.64,1.3760000000000001,1.5199999999999998,MARRAKECH SAFI,1.0079999999999991,10.465116279069758
MG BENIMELLAL,AUTRE,1.008,0.0,0.14400000000000002,0.0,MARRAKECH SAFI,-1.008,-100.0
HALLE FNIDEQ,POISSON BLANC,325.523,280.507,5.0205,4.001,TANGER TETOUAN AL HCOEIMA,-45.01600000000002,-13.828823155353081
HALLE FNIDEQ,CEPHALOPODES,5718.4615,6844.682500000002,71.28649999999999,73.7845,TANGER TETOUAN AL HCOEIMA,1126.2210000000014,19.694475515835883
HALLE FNIDEQ,POISSON PELAGIQUE,18.546,0.0,0.307,0.0,TANGER TETOUAN AL HCOEIMA,-18.546,-100.0
CAPI BOUJDOUR,POISSON PELAGIQUE,224777.02086000002,233941.94572,62384.768000000004,57975.738,LAAYOUNE SAKIA LHAMRA,9164.92485999997,4.077340657392308
CAPI BOUJDOUR,POISSON BLANC,3707.6130000000003,0.0,1235.871,0.0,LAAYOUNE SAKIA LHAMRA,-3707.6130000000003,-100.0
MG INZEGANE,CEPHALOPODES,218.454,524.34,11.658,30.766,SOUSS MASSA,305.886,140.02307121865474
MG INZEGANE,POISSON BLANC,7647.085999999999,10511.779,1065.42,1514.0319999999997,SOUSS MASSA,2864.693000000001,37.46123686852745
